datetime,severity,event_type,message,details
2026-04-26T10:26:01.462125,ERROR,CYCLE_FAILED,Trading cycle exception,error='cash'
2026-04-26T10:27:01.536191,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T10:27:01.557257,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T10:27:01.584006,ERROR,CYCLE_FAILED,Trading cycle exception,error='cash'
2026-04-26T10:28:01.651483,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T10:28:01.669769,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T10:28:01.697062,ERROR,CYCLE_FAILED,Trading cycle exception,error='cash'
2026-04-26T10:29:01.776875,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T10:29:01.799497,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T10:29:01.824165,ERROR,CYCLE_FAILED,Trading cycle exception,error='cash'
2026-04-26T10:30:01.894109,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T10:30:01.913831,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T10:30:01.939753,ERROR,CYCLE_FAILED,Trading cycle exception,error='cash'
2026-04-26T10:31:02.012661,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T10:31:02.032651,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T10:31:02.058139,ERROR,CYCLE_FAILED,Trading cycle exception,error='cash'
2026-04-26T10:47:01.433755,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T10:47:01.455891,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T10:47:01.473916,ERROR,PORTFOLIO,Portfolio not found,No portfolio.json found in /workspaces/portfolio-management/live_trader/state
2026-04-26T10:48:01.544890,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T10:48:01.566950,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
