datetime,severity,event_type,message,details
2026-04-26T11:03:01.207352,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:03:01.226301,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:03:01.243196,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:04:01.310116,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:04:01.327898,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:04:01.344224,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:05:01.413110,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:05:01.431538,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:05:01.448734,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:06:01.515196,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:06:01.535388,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:06:01.551938,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:07:01.623243,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:07:01.643110,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:07:01.660675,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:08:01.726222,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:08:01.748255,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:08:01.764173,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:09:01.837649,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:09:01.857937,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:09:01.880691,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:10:01.953979,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:10:01.971344,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:10:02.002652,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:11:01.069135,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:11:01.085881,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:11:01.102460,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:12:01.166187,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:12:01.185914,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
