Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,10268.000000,10268.000000,10268.000000,10268.000000,10268.000000,0
2018-01-03,10297.000000,10297.000000,10297.000000,10297.000000,10297.000000,0
2018-01-04,10356.000000,10356.000000,10356.000000,10356.000000,10356.000000,0
2018-01-05,10398.000000,10398.000000,10398.000000,10398.000000,10398.000000,0
2018-01-08,10417.000000,10417.000000,10417.000000,10417.000000,10417.000000,0
2018-01-09,10427.000000,10427.000000,10427.000000,10427.000000,10427.000000,0
2018-01-10,10436.000000,10436.000000,10436.000000,10436.000000,10436.000000,0
2018-01-11,10437.000000,10437.000000,10437.000000,10437.000000,10437.000000,0
2018-01-12,10473.000000,10473.000000,10473.000000,10473.000000,10473.000000,0
2018-01-15,10490.000000,10490.000000,10490.000000,10490.000000,10490.000000,0
2018-01-16,10503.000000,10503.000000,10503.000000,10503.000000,10503.000000,0
2018-01-17,10488.000000,10488.000000,10488.000000,10488.000000,10488.000000,0
2018-01-18,10511.000000,10511.000000,10511.000000,10511.000000,10511.000000,0
2018-01-19,10512.000000,10512.000000,10512.000000,10512.000000,10512.000000,0
2018-01-22,10532.000000,10532.000000,10532.000000,10532.000000,10532.000000,0
2018-01-23,10583.000000,10583.000000,10583.000000,10583.000000,10583.000000,0
2018-01-24,10598.000000,10598.000000,10598.000000,10598.000000,10598.000000,0
2018-01-25,10594.000000,10594.000000,10594.000000,10594.000000,10594.000000,0
2018-01-26,10599.000000,10599.000000,10599.000000,10599.000000,10599.000000,0
2018-01-29,10605.000000,10605.000000,10605.000000,10605.000000,10605.000000,0
2018-01-30,10558.000000,10558.000000,10558.000000,10558.000000,10558.000000,0
2018-01-31,10528.000000,10528.000000,10528.000000,10528.000000,10528.000000,0
2018-02-01,10560.000000,10560.000000,10560.000000,10560.000000,10560.000000,0
2018-02-02,10519.000000,10519.000000,10519.000000,10519.000000,10519.000000,0
2018-02-05,10414.000000,10414.000000,10414.000000,10414.000000,10414.000000,0
2018-02-06,10346.000000,10346.000000,10346.000000,10346.000000,10346.000000,0
2018-02-07,10314.000000,10314.000000,10314.000000,10314.000000,10314.000000,0
2018-02-08,10327.000000,10327.000000,10327.000000,10327.000000,10327.000000,0
2018-02-09,10211.000000,10211.000000,10211.000000,10211.000000,10211.000000,0
2018-02-12,10243.000000,10243.000000,10243.000000,10243.000000,10243.000000,0
2018-02-13,10243.000000,10243.000000,10243.000000,10243.000000,10243.000000,0
2018-02-14,10245.000000,10245.000000,10245.000000,10245.000000,10245.000000,0
2018-02-15,10335.000000,10335.000000,10335.000000,10335.000000,10335.000000,0
2018-02-16,10361.000000,10361.000000,10361.000000,10361.000000,10361.000000,0
2018-02-19,10384.000000,10384.000000,10384.000000,10384.000000,10384.000000,0
2018-02-20,10344.000000,10344.000000,10344.000000,10344.000000,10344.000000,0
2018-02-21,10350.000000,10350.000000,10350.000000,10350.000000,10350.000000,0
2018-02-22,10338.000000,10338.000000,10338.000000,10338.000000,10338.000000,0
2018-02-23,10373.000000,10373.000000,10373.000000,10373.000000,10373.000000,0
2018-02-26,10428.000000,10428.000000,10428.000000,10428.000000,10428.000000,0
2018-02-27,10416.000000,10416.000000,10416.000000,10416.000000,10416.000000,0
2018-02-28,10372.000000,10372.000000,10372.000000,10372.000000,10372.000000,0
2018-03-01,10313.000000,10313.000000,10313.000000,10313.000000,10313.000000,0
2018-03-02,10263.000000,10263.000000,10263.000000,10263.000000,10263.000000,0
2018-03-05,10238.000000,10238.000000,10238.000000,10238.000000,10238.000000,0
2018-03-06,10288.000000,10288.000000,10288.000000,10288.000000,10288.000000,0
2018-03-07,10253.000000,10253.000000,10253.000000,10253.000000,10253.000000,0
2018-03-08,10266.000000,10266.000000,10266.000000,10266.000000,10266.000000,0
2018-03-09,10303.000000,10303.000000,10303.000000,10303.000000,10303.000000,0
2018-03-12,10357.000000,10357.000000,10357.000000,10357.000000,10357.000000,0
2018-03-13,10367.000000,10367.000000,10367.000000,10367.000000,10367.000000,0
2018-03-14,10344.000000,10344.000000,10344.000000,10344.000000,10344.000000,0
2018-03-15,10329.000000,10329.000000,10329.000000,10329.000000,10329.000000,0
2018-03-16,10323.000000,10323.000000,10323.000000,10323.000000,10323.000000,0
2018-03-19,10318.000000,10318.000000,10318.000000,10318.000000,10318.000000,0
2018-03-20,10301.000000,10301.000000,10301.000000,10301.000000,10301.000000,0
2018-03-21,10306.000000,10306.000000,10306.000000,10306.000000,10306.000000,0
2018-03-22,10342.000000,10342.000000,10342.000000,10342.000000,10342.000000,0
2018-03-23,10237.000000,10237.000000,10237.000000,10237.000000,10237.000000,0
2018-03-26,10259.000000,10259.000000,10259.000000,10259.000000,10259.000000,0
2018-03-27,10300.000000,10300.000000,10300.000000,10300.000000,10300.000000,0
2018-03-28,10278.000000,10278.000000,10278.000000,10278.000000,10278.000000,0
2018-03-29,10280.000000,10280.000000,10280.000000,10280.000000,10280.000000,0
2018-04-03,10277.000000,10277.000000,10277.000000,10277.000000,10277.000000,0
2018-04-04,10253.000000,10253.000000,10253.000000,10253.000000,10253.000000,0
2018-04-05,10321.000000,10321.000000,10321.000000,10321.000000,10321.000000,0
2018-04-06,10336.000000,10336.000000,10336.000000,10336.000000,10336.000000,0
2018-04-09,10326.000000,10326.000000,10326.000000,10326.000000,10326.000000,0
2018-04-10,10338.000000,10338.000000,10338.000000,10338.000000,10338.000000,0
2018-04-11,10350.000000,10350.000000,10350.000000,10350.000000,10350.000000,0
2018-04-12,10360.000000,10360.000000,10360.000000,10360.000000,10360.000000,0
2018-04-13,10394.000000,10394.000000,10394.000000,10394.000000,10394.000000,0
2018-04-16,10367.000000,10367.000000,10367.000000,10367.000000,10367.000000,0
2018-04-17,10373.000000,10373.000000,10373.000000,10373.000000,10373.000000,0
2018-04-18,10398.000000,10398.000000,10398.000000,10398.000000,10398.000000,0
2018-04-19,10398.000000,10398.000000,10398.000000,10398.000000,10398.000000,0
2018-04-20,10393.000000,10393.000000,10393.000000,10393.000000,10393.000000,0
2018-04-23,10367.000000,10367.000000,10367.000000,10367.000000,10367.000000,0
2018-04-24,10381.000000,10381.000000,10381.000000,10381.000000,10381.000000,0
2018-04-25,10326.000000,10326.000000,10326.000000,10326.000000,10326.000000,0
2018-04-26,10370.000000,10370.000000,10370.000000,10370.000000,10370.000000,0
2018-04-27,10403.000000,10403.000000,10403.000000,10403.000000,10403.000000,0
2018-04-30,10421.000000,10421.000000,10421.000000,10421.000000,10421.000000,0
2018-05-01,10386.000000,10386.000000,10386.000000,10386.000000,10386.000000,0
2018-05-02,10377.000000,10377.000000,10377.000000,10377.000000,10377.000000,0
2018-05-03,10372.000000,10372.000000,10372.000000,10372.000000,10372.000000,0
2018-05-04,10352.000000,10352.000000,10352.000000,10352.000000,10352.000000,0
2018-05-08,10368.000000,10368.000000,10368.000000,10368.000000,10368.000000,0
2018-05-09,10360.000000,10360.000000,10360.000000,10360.000000,10360.000000,0
2018-05-10,10399.000000,10399.000000,10399.000000,10399.000000,10399.000000,0
2018-05-11,10470.000000,10470.000000,10470.000000,10470.000000,10470.000000,0
2018-05-14,10463.000000,10463.000000,10463.000000,10463.000000,10463.000000,0
2018-05-15,10437.000000,10437.000000,10437.000000,10437.000000,10437.000000,0
2018-05-16,10389.000000,10389.000000,10389.000000,10389.000000,10389.000000,0
2018-05-17,10398.000000,10398.000000,10398.000000,10398.000000,10398.000000,0
2018-05-18,10395.000000,10395.000000,10395.000000,10395.000000,10395.000000,0
