Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,137.141006,137.141006,137.141006,137.141006,137.141006,0
2018-01-03,138.151993,138.151993,138.151993,138.151993,138.151993,0
2018-01-04,139.554001,139.554001,139.554001,139.554001,139.554001,0
2018-01-05,140.485001,140.485001,140.485001,140.485001,140.485001,0
2018-01-08,140.914993,140.914993,140.914993,140.914993,140.914993,0
2018-01-09,141.255997,141.255997,141.255997,141.255997,141.255997,0
2018-01-10,141.455994,141.455994,141.455994,141.455994,141.455994,0
2018-01-11,143.087997,143.087997,143.087997,143.087997,143.087997,0
2018-01-12,142.766998,142.766998,142.766998,142.766998,142.766998,0
2018-01-15,142.087006,142.087006,142.087006,142.087006,142.087006,0
2018-01-16,142.507004,142.507004,142.507004,142.507004,142.507004,0
2018-01-17,141.445999,141.445999,141.445999,141.445999,141.445999,0
2018-01-18,140.914993,140.914993,140.914993,140.914993,140.914993,0
2018-01-19,141.386002,141.386002,141.386002,141.386002,141.386002,0
2018-01-22,141.815994,141.815994,141.815994,141.815994,141.815994,0
2018-01-23,142.197006,142.197006,142.197006,142.197006,142.197006,0
2018-01-24,140.654999,140.654999,140.654999,140.654999,140.654999,0
2018-01-25,139.444000,139.444000,139.444000,139.444000,139.444000,0
2018-01-26,139.343994,139.343994,139.343994,139.343994,139.343994,0
2018-01-29,142.287003,142.287003,142.287003,142.287003,142.287003,0
2018-01-30,140.354996,140.354996,140.354996,140.354996,140.354996,0
2018-01-31,138.923004,138.923004,138.923004,138.923004,138.923004,0
2018-02-01,138.783005,138.783005,138.783005,138.783005,138.783005,0
2018-02-02,138.171997,138.171997,138.171997,138.171997,138.171997,0
2018-02-05,136.600998,136.600998,136.600998,136.600998,136.600998,0
2018-02-06,131.195007,131.195007,131.195007,131.195007,131.195007,0
2018-02-07,134.779007,134.779007,134.779007,134.779007,134.779007,0
2018-02-08,134.427994,134.427994,134.427994,134.427994,134.427994,0
2018-02-09,130.623993,130.623993,130.623993,130.623993,130.623993,0
2018-02-12,132.085999,132.085999,132.085999,132.085999,132.085999,0
2018-02-13,132.546005,132.546005,132.546005,132.546005,132.546005,0
2018-02-14,134.138000,134.138000,134.138000,134.138000,134.138000,0
2018-02-15,134.729004,134.729004,134.729004,134.729004,134.729004,0
2018-02-16,135.259003,135.259003,135.259003,135.259003,135.259003,0
2018-02-19,136.029999,136.029999,136.029999,136.029999,136.029999,0
2018-02-20,135.660004,135.660004,135.660004,135.660004,135.660004,0
2018-02-21,135.889999,135.889999,135.889999,135.889999,135.889999,0
2018-02-22,136.220001,136.220001,136.220001,136.220001,136.220001,0
2018-02-23,135.949997,135.949997,135.949997,135.949997,135.949997,0
2018-02-26,136.690994,136.690994,136.690994,136.690994,136.690994,0
2018-02-27,138.031998,138.031998,138.031998,138.031998,138.031998,0
2018-02-28,136.990997,136.990997,136.990997,136.990997,136.990997,0
2018-03-01,136.580994,136.580994,136.580994,136.580994,136.580994,0
2018-03-02,134.899002,134.899002,134.899002,134.899002,134.899002,0
2018-03-05,134.557999,134.557999,134.557999,134.557999,134.557999,0
2018-03-06,136.289993,136.289993,136.289993,136.289993,136.289993,0
2018-03-07,136.220001,136.220001,136.220001,136.220001,136.220001,0
2018-03-08,136.360001,136.360001,136.360001,136.360001,136.360001,0
2018-03-09,137.281006,137.281006,137.281006,137.281006,137.281006,0
2018-03-12,138.893005,138.893005,138.893005,138.893005,138.893005,0
2018-03-13,138.653000,138.653000,138.653000,138.653000,138.653000,0
2018-03-14,137.432007,137.432007,137.432007,137.432007,137.432007,0
2018-03-15,137.190994,137.190994,137.190994,137.190994,137.190994,0
2018-03-16,136.139999,136.139999,136.139999,136.139999,136.139999,0
2018-03-19,135.259003,135.259003,135.259003,135.259003,135.259003,0
2018-03-20,134.587997,134.587997,134.587997,134.587997,134.587997,0
2018-03-21,134.348007,134.348007,134.348007,134.348007,134.348007,0
2018-03-22,133.516998,133.516998,133.516998,133.516998,133.516998,0
2018-03-23,130.143005,130.143005,130.143005,130.143005,130.143005,0
2018-03-26,129.052002,129.052002,129.052002,129.052002,129.052002,0
2018-03-27,131.154999,131.154999,131.154999,131.154999,131.154999,0
