date,open,high,low,close,Kernel Regression Estimate,Buy,Sell,StopBuy,StopSell,Backtest Stream,volume,bar_index,f1,f2,f3,f4,f5,yhat1,yhat2,isEmaUptrend,isEmaDowntrend,isSmaUptrend,isSmaDowntrend,prediction,signal,barsHeld,isEarlySignalFlip,isLastSignalBuy,isLastSignalSell,isNewBuySignal,isNewSellSignal,startLongTrade,startShortTrade,endLongTrade,endShortTrade,endLongTradeDynamic,endShortTradeDynamic
2021-08-02 03:45:00+00:00,15874.9,15892.9,15834.65,15885.15,15792.374294628926,,,,,,244847428,7495,0.5698137207334981,0.6681082879161544,0.5948713437990224,0.0774365181588315,0.5856044058271754,15792.374294628926,15791.780603067164,True,True,True,True,0,0,1,False,False,False,False,False,,,,,,
2021-08-03 03:45:00+00:00,15951.55,16146.9,15914.35,16130.75,15823.326724193075,15914.35,,,,1.0,341289665,7496,0.6593122461995569,0.8384126837706478,0.8224039310668998,0.0779367964396208,0.709795383121312,15823.326724193075,15834.220991849106,True,True,True,True,0,0,2,False,False,False,False,False,,,,,,
2021-08-04 03:45:00+00:00,16195.25,16290.2,16176.15,16258.8,15865.631651896432,,,,,,427337646,7497,0.6949467624799089,0.882698624225899,0.8325849829793021,0.0821926821400439,0.7531819745188953,15865.631651896432,15892.140038573354,True,True,True,True,0,0,3,False,False,False,False,False,,,,,,
2021-08-05 03:45:00+00:00,16288.95,16349.45,16210.3,16294.6,15910.476630472933,,,,,,418174501,7498,0.7042602466032397,0.7796976553360424,0.7751015417552186,0.0876923479763258,0.7642667773860968,15910.476630472933,15952.630215343868,True,True,True,True,0,0,4,False,False,False,False,False,,,,,,
2021-08-06 03:45:00+00:00,16304.4,16336.75,16223.3,16238.2,15948.824439416292,,,,,,320087294,7499,0.6695771454662622,0.6272070120970085,0.6880453439225148,0.0929170305207937,0.707918221403673,15948.824439416292,16002.672402619895,True,True,True,True,0,0,5,False,False,False,False,False,,,,,,
2021-08-09 03:45:00+00:00,16281.35,16320.75,16179.05,16258.25,15987.02552452936,,,,,2.0,240452911,7500,0.6756916716055532,0.5134046407078262,0.6622201934636996,0.0962115999102773,0.7162840573853676,15987.02552452936,16050.593606909928,True,True,True,True,0,0,6,False,False,False,False,False,,,,,,
2021-08-10 03:45:00+00:00,16274.8,16359.25,16202.25,16280.1,16024.827392576512,,,,,,287989498,7501,0.6825852012225758,0.4638052559247416,0.6425298974673446,0.1003929286356289,0.7259088093301181,16024.827392576512,16095.832576540895,True,True,True,True,0,0,7,False,False,False,False,False,,,,,,
2021-08-11 03:45:00+00:00,16327.3,16338.75,16162.55,16282.25,16059.973956239885,,,,,,277895873,7502,0.6832985555337645,0.4301286843295134,0.6189908228205625,0.1028066794779414,0.7269342547966466,16059.973956239885,16135.45646069745,True,True,True,True,0,0,8,False,False,False,False,False,,,,,,
2021-08-12 03:45:00+00:00,16303.65,16375.5,16286.9,16364.4,16099.441415761485,,,,,,280181309,7503,0.7101068883494819,0.4473287076873469,0.6286656341771589,0.1061680377075275,0.7647647122758773,16099.441415761485,16179.292558537229,True,True,True,True,0,0,9,False,False,False,False,False,,,,,,
2021-08-13 03:45:00+00:00,16385.699,16543.6,16376.3,16529.1,16150.75540655804,,,,,,321866301,7504,0.7549019669563234,0.49925150527526,0.6593044529317629,0.1138353271944768,0.82076946900541,16150.75540655804,16237.666752764238,True,True,True,True,0,0,10,False,False,False,False,False,,,,,,
